,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Shai Gilgeous-Alexander,33:26,14,19,.737,0,3,.000,6,7,.857,0,6,6,9,2,1,3,3,34,32.5,+17
1,Luguentz Dort,33:25,7,9,.778,5,6,.833,1,2,.500,0,4,4,0,2,2,2,4,20,17.1,+15
2,Chet Holmgren,28:51,8,13,.615,3,6,.500,1,2,.500,0,4,4,5,0,1,1,4,20,16.5,+17
3,Jalen Williams,26:20,7,11,.636,4,6,.667,3,3,1.000,0,1,1,3,0,2,1,3,21,17.7,+11
4,Josh Giddey,25:20,4,7,.571,0,2,.000,2,2,1.000,0,2,2,7,0,0,2,3,10,9.0,+21
5,Cason Wallace,23:49,2,5,.400,1,4,.250,0,0,,1,0,1,1,2,0,1,0,5,4.7,+4
6,Kenrich Williams,16:27,2,4,.500,2,3,.667,0,0,,0,3,3,2,1,0,0,0,6,7.3,+9
7,Isaiah Joe,16:16,3,4,.750,2,3,.667,0,0,,1,1,2,2,0,0,0,3,8,7.6,+10
8,Vasilije Micić,15:59,1,7,.143,0,4,.000,0,0,,0,0,0,4,2,0,1,3,2,0.1,+6
9,Aaron Wiggins,13:54,1,2,.500,1,2,.500,0,0,,1,4,5,1,0,0,0,1,3,4.2,+6
10,Jaylin Williams,4:32,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,0,0,1.7,+1
11,Tre Mann,1:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
12,Dāvis Bertāns,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Ousmane Dieng,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Olivier Sarr,Did Not Play,,,,,,,,,,,,,,,,,,,,
