,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,D'Angelo Russell,36:11,4,12,.333,2,5,.400,1,2,.500,0,4,4,7,1,0,3,3,11,6.7,+1
1,Anthony Davis,34:09,6,17,.353,1,2,.500,4,4,1.000,1,7,8,4,0,2,2,3,17,11.3,-17
2,Austin Reaves,31:20,4,11,.364,1,2,.500,5,7,.714,4,4,8,4,2,0,2,2,14,13.1,-14
3,Taurean Prince,29:53,6,8,.750,4,6,.667,2,2,1.000,1,2,3,1,0,1,1,0,18,16.5,-14
4,LeBron James,29:00,10,16,.625,1,4,.250,0,1,.000,1,7,8,5,1,0,0,1,21,20.3,+7
5,Gabe Vincent,22:18,3,8,.375,0,4,.000,0,0,,1,0,1,2,1,0,2,3,6,1.5,-17
6,Cam Reddish,17:38,2,4,.500,1,2,.500,2,2,1.000,2,2,4,0,0,1,0,2,7,6.9,+7
7,Christian Wood,15:28,3,4,.750,0,1,.000,1,2,.500,1,3,4,0,0,0,1,1,7,5.2,+2
8,Rui Hachimura,14:39,3,10,.300,0,3,.000,0,0,,2,1,3,0,0,0,0,2,6,1.1,-8
9,Jaxson Hayes,6:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-7
10,Max Christie,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
11,Maxwell Lewis,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
