,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Khris Middleton,31:41,.715,.694,.389,.111,4.0,6.1,5.2,42.9,0.0,4.4,13.7,30.4,140,126,5.0
1,Giannis Antetokounmpo,30:27,.821,.833,.000,1.417,8.3,25.2,17.9,34.8,0.0,4.6,9.3,31.0,165,118,13.1
2,Damian Lillard,28:57,.575,.550,.900,.100,0.0,9.9,5.7,14.6,0.0,0.0,27.7,21.9,93,127,-13.4
3,Brook Lopez,24:36,.143,.143,.857,.000,10.3,15.6,13.3,7.8,0.0,8.5,0.0,12.5,80,120,-13.3
4,Malik Beasley,21:59,.944,.944,.889,.000,5.7,0.0,2.5,5.6,2.2,0.0,0.0,18.0,172,126,9.4
5,Bobby Portis,30:51,.778,.778,.333,.000,0.0,18.7,10.6,14.6,3.1,2.3,10.0,14.3,144,115,4.1
6,Cameron Payne,22:48,.953,.944,.889,.111,5.5,12.6,9.6,32.1,4.2,0.0,0.0,18.2,195,117,16.0
7,MarJon Beauchamp,20:41,.799,.833,.500,.333,0.0,23.2,13.2,10.9,2.3,0.0,0.0,14.6,159,116,2.6
8,Pat Connaughton,18:03,.500,.500,1.000,.000,7.0,0.0,3.0,5.4,0.0,0.0,0.0,7.3,134,131,-7.9
9,A.J. Green,3:55,.750,.750,1.000,.000,0.0,24.5,13.9,0.0,0.0,0.0,0.0,22.5,130,120,-8.3
10,Andre Jackson Jr.,1:53,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,0,130,-85.2
11,Thanasis Antetokounmpo,1:23,,,,,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,244,131,41.9
12,Chris Livingston,1:23,1.000,1.000,.000,.000,0.0,69.4,39.4,100.0,0.0,0.0,0.0,31.8,214,102,46.1
13,Robin Lopez,1:23,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,300,131,53.8
14,Lindell Wigginton,Did Not Play,,,,,,,,,,,,,,,
