,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jaden Ivey,33:30,11,18,.611,3,8,.375,3,6,.500,5,2,7,3,0,0,3,2,28,21.0,+5
1,Cade Cunningham,32:47,7,17,.412,1,3,.333,1,1,1.000,0,3,3,11,1,0,4,4,16,10.9,-11
2,Jalen Duren,31:10,5,7,.714,0,0,,1,2,.500,2,11,13,2,0,0,0,1,11,13.4,-8
3,Bojan Bogdanović,29:30,9,13,.692,6,9,.667,2,2,1.000,0,1,1,3,0,0,4,2,26,18.1,-8
4,Kevin Knox,18:24,0,2,.000,0,2,.000,0,0,,0,1,1,2,1,0,1,3,0,-0.9,+16
5,Ausar Thompson,26:08,1,4,.250,0,1,.000,1,2,.500,4,3,7,1,2,1,1,1,3,5.9,-11
6,Alec Burks,20:46,2,10,.200,1,7,.143,1,1,1.000,1,1,2,1,1,1,1,0,6,2.2,-13
7,Marcus Sasser,20:29,8,10,.800,5,6,.833,0,0,,0,1,1,2,0,0,2,2,21,16.1,-7
8,Danilo Gallinari,14:36,1,3,.333,1,2,.500,8,9,.889,1,0,1,2,0,1,0,3,11,10.5,-10
9,Monte Morris,10:24,0,4,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.8,-15
10,James Wiseman,2:14,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,3,3.0,+7
11,Joe Harris,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Killian Hayes,Did Not Play,,,,,,,,,,,,,,,,,,,,
