,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Luka Dončić,38:32,11,24,.458,4,11,.364,8,12,.667,1,7,8,9,1,2,5,1,34,26.1,-22
1,Josh Green,31:02,3,8,.375,2,6,.333,0,0,,3,1,4,3,0,0,1,1,8,6.7,-13
2,Dereck Lively II,25:29,4,5,.800,0,0,,0,0,,1,1,2,1,1,1,0,2,8,8.7,-20
3,Derrick Jones Jr.,24:03,3,8,.375,0,3,.000,0,1,.000,1,1,2,1,0,0,3,3,6,-1.3,-35
4,Grant Williams,11:25,3,6,.500,2,4,.500,0,0,,0,1,1,1,0,0,3,3,8,1.8,+5
5,Tim Hardaway Jr.,34:15,6,16,.375,4,10,.400,1,2,.500,0,5,5,2,2,0,1,1,17,11.3,-21
6,Maxi Kleber,22:18,1,2,.500,0,1,.000,0,0,,2,1,3,3,0,0,1,3,2,2.6,+2
7,Dante Exum,18:33,2,4,.500,1,1,1.000,1,2,.500,0,2,2,2,0,0,0,1,6,5.2,-14
8,Jaden Hardy,15:10,4,9,.444,3,4,.750,0,0,,0,3,3,2,0,0,0,1,11,8.2,+3
9,Richaun Holmes,4:48,2,2,1.000,0,0,,0,0,,2,0,2,0,0,0,0,0,4,4.8,0
10,A.J. Lawson,4:48,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,2.3,0
11,Brandon Williams,4:48,1,2,.500,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,2,0.6,0
12,Olivier-Maxence Prosper,4:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,Seth Curry,Did Not Play,,,,,,,,,,,,,,,,,,,,
14,Markieff Morris,Did Not Play,,,,,,,,,,,,,,,,,,,,
