,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,James Harden,34:58,8,14,.571,2,7,.286,4,4,1.000,0,10,10,13,1,1,1,3,22,27.0,+27
1,Kawhi Leonard,30:30,7,13,.538,2,4,.500,0,0,,1,6,7,3,1,2,1,0,16,15.7,+11
2,Terance Mann,28:38,3,6,.500,0,1,.000,0,0,,1,2,3,2,0,0,0,1,6,5.3,+20
3,Paul George,28:19,6,15,.400,3,9,.333,6,7,.857,0,2,2,1,1,2,2,0,21,14.2,+13
4,Mason Plumlee,25:13,6,12,.500,0,0,,0,0,,4,8,12,3,0,0,1,1,12,11.9,+19
5,Russell Westbrook,25:58,7,14,.500,0,2,.000,6,6,1.000,3,2,5,3,2,2,0,3,20,20.0,-2
6,Norman Powell,25:46,6,13,.462,2,7,.286,3,4,.750,0,4,4,0,1,0,2,2,17,9.3,-2
7,Amir Coffey,19:16,1,2,.500,0,1,.000,3,3,1.000,0,2,2,2,0,0,1,6,5,2.6,0
8,Daniel Theis,18:16,3,4,.750,0,0,,0,0,,2,2,4,1,0,0,2,1,6,4.7,+6
9,Brandon Boston Jr.,1:33,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+4
10,Bones Hyland,1:33,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,+4
11,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,,
