,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Terry Rozier,34:21,7,16,.438,2,7,.286,8,12,.667,1,4,5,6,0,0,3,2,24,16.3,+14
1,Gordon Hayward,33:20,4,8,.500,0,1,.000,2,3,.667,3,5,8,7,1,1,6,1,10,9.4,+15
2,P.J. Washington,31:48,12,18,.667,1,6,.167,0,0,,1,4,5,2,0,0,1,4,25,17.9,+5
3,LaMelo Ball,30:47,4,15,.267,4,11,.364,3,4,.750,1,5,6,10,1,0,3,3,15,11.7,+7
4,Mark Williams,29:55,5,6,.833,0,0,,3,3,1.000,4,11,15,1,3,1,2,2,13,18.5,+19
5,Brandon Miller,24:37,5,9,.556,3,7,.429,0,0,,0,3,3,2,0,0,1,3,13,8.8,-13
6,JT Thor,20:07,2,7,.286,1,3,.333,0,0,,1,1,2,1,0,0,0,0,5,2.6,+2
7,Nick Richards,18:03,2,2,1.000,0,0,,3,4,.750,1,3,4,1,0,1,2,3,7,5.8,-14
8,Théo Maledon,16:19,2,5,.400,0,2,.000,0,0,,0,3,3,4,0,0,1,3,4,2.8,-5
9,Nick Smith Jr.,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
10,Amari Bailey,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Leaky Black,Did Not Play,,,,,,,,,,,,,,,,,,,,
