,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Terry Rozier,39:04,11,25,.440,4,11,.364,4,4,1.000,0,4,4,6,3,0,2,0,30,23.3,-10
1,Miles Bridges,38:56,10,24,.417,2,8,.250,5,6,.833,2,8,10,2,1,0,3,5,27,15.0,-11
2,Brandon Miller,35:17,7,16,.438,2,5,.400,0,2,.000,0,4,4,3,1,0,0,3,16,9.9,-1
3,Gordon Hayward,33:31,4,10,.400,1,4,.250,0,0,,0,3,3,4,1,1,1,2,9,7.2,0
4,Nick Richards,30:18,7,7,1.000,0,0,,2,2,1.000,1,5,6,1,0,1,0,5,16,15.5,+6
5,Bryce McGowens,20:56,2,5,.400,0,2,.000,3,5,.600,1,1,2,0,1,0,0,2,7,4.7,-14
6,Ish Smith,15:12,0,2,.000,0,0,,0,0,,1,0,1,2,0,0,0,0,0,0.7,+10
7,JT Thor,13:54,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,2,0,1,0,0.6,+1
8,Nathan Mensah,12:51,0,1,.000,0,0,,2,2,1.000,2,5,7,0,0,0,2,6,2,-0.2,-6
9,Leaky Black,Did Not Play,,,,,,,,,,,,,,,,,,,,
10,James Bouknight,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Nick Smith Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,,
