,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Bojan Bogdanović,38:49,5,13,.385,2,7,.286,7,9,.778,2,6,8,4,2,0,4,4,19,13.5,0
1,Jaden Ivey,35:11,6,11,.545,3,6,.500,8,10,.800,0,6,6,7,0,2,3,4,23,20.4,+6
2,Cade Cunningham,33:24,9,20,.450,1,5,.200,3,4,.750,0,3,3,6,0,0,2,4,22,12.7,-5
3,Isaiah Stewart,32:39,8,9,.889,4,5,.800,0,0,,1,4,5,5,1,1,0,5,20,22.0,-2
4,Ausar Thompson,31:02,2,7,.286,1,3,.333,2,3,.667,1,4,5,2,1,0,0,2,7,6.0,-4
5,Kevin Knox,24:00,5,6,.833,3,3,1.000,1,1,1.000,0,1,1,0,0,0,0,2,14,11.3,-11
6,Alec Burks,16:25,2,8,.250,1,5,.200,0,0,,0,1,1,2,1,0,1,2,5,1.1,-20
7,Marvin Bagley III,15:21,2,4,.500,0,0,,1,2,.500,2,3,5,0,0,0,1,0,5,3.9,-9
8,Joe Harris,6:52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
9,Marcus Sasser,6:17,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,2,0,-3.2,-5
10,Killian Hayes,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Isaiah Livers,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,James Wiseman,Did Not Play,,,,,,,,,,,,,,,,,,,,
