,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Shai Gilgeous-Alexander,29:36,.590,.423,.154,.692,5.8,21.9,12.2,22.5,6.7,7.1,19.1,30.6,110,106,9.0
1,Josh Giddey,28:49,.650,.650,.200,.000,5.9,13.5,9.0,24.7,1.7,3.6,23.1,19.5,110,122,0.7
2,Chet Holmgren,28:10,.519,.500,.429,.071,9.1,18.4,12.8,6.4,0.0,3.7,0.0,22.2,117,125,-0.6
3,Jalen Williams,26:09,.354,.278,.333,.222,0.0,9.9,3.9,16.5,1.9,0.0,9.2,18.0,82,124,-10.1
4,Luguentz Dort,23:41,.833,.833,.778,.000,3.6,5.5,4.4,15.1,2.1,0.0,0.0,16.4,166,125,10.8
5,Cason Wallace,22:02,.438,.438,.500,.000,7.8,11.8,9.4,7.2,6.8,0.0,11.1,17.7,93,113,-0.6
6,Aaron Wiggins,16:28,.676,.625,.375,.250,5.2,0.0,3.1,11.5,3.0,6.3,10.1,25.9,125,121,8.8
7,Gordon Hayward,14:29,.200,.200,.200,.000,0.0,9.0,3.6,19.7,0.0,0.0,0.0,14.9,65,129,-15.0
8,Isaiah Joe,13:41,.000,.000,.750,.000,0.0,19.0,7.5,0.0,0.0,7.6,0.0,12.6,0,123,-17.4
9,Mike Muscala,11:29,.500,.500,.600,.000,0.0,33.9,13.5,0.0,0.0,0.0,0.0,18.8,100,122,-4.5
10,Kenrich Williams,9:11,.250,.250,.500,.000,9.3,0.0,5.6,32.9,0.0,0.0,0.0,18.8,90,131,-8.9
11,Bismack Biyombo,6:38,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,129,-27.2
12,Lindy Waters III,5:17,.500,.500,1.000,.000,16.2,49.1,29.3,65.1,9.4,0.0,0.0,24.5,140,96,28.8
13,Olivier Sarr,4:20,.798,1.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,24.1,0.0,18.8,155,119,6.3
