,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Paul George,29:39,9,15,.600,6,10,.600,0,0,,0,7,7,1,0,1,2,2,24,17.8,+22
1,Kawhi Leonard,29:35,7,15,.467,2,4,.500,3,4,.750,2,7,9,2,1,1,2,1,19,15.1,+6
2,James Harden,29:00,2,7,.286,1,6,.167,3,3,1.000,0,3,3,13,0,0,1,2,8,12.1,+18
3,Ivica Zubac,23:25,6,7,.857,0,0,,3,4,.750,0,8,8,2,0,2,1,3,15,15.1,+18
4,Terance Mann,16:33,2,3,.667,2,3,.667,2,2,1.000,1,2,3,1,1,0,0,2,8,8.9,+11
5,Norman Powell,25:00,5,13,.385,3,6,.500,0,0,,0,3,3,2,1,0,0,1,13,8.8,+36
6,Russell Westbrook,21:52,3,6,.500,1,3,.333,1,2,.500,2,3,5,5,2,2,4,2,8,9.0,+7
7,Amir Coffey,20:54,2,4,.500,0,2,.000,0,0,,1,2,3,0,1,0,2,1,4,1.9,0
8,Daniel Theis,17:24,1,3,.333,0,1,.000,0,0,,2,3,5,0,0,0,1,1,2,1.2,+13
9,Mason Plumlee,7:11,2,2,1.000,0,0,,4,5,.800,1,1,2,0,0,0,0,1,8,7.6,-15
10,Brandon Boston Jr.,6:29,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,1,1,2,0.6,-12
11,Kobe Brown,6:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-12
12,Bones Hyland,6:29,0,3,.000,0,0,,0,0,,0,0,0,1,0,1,0,1,0,-1.1,-12
13,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,,
