,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,D'Angelo Russell,33:56,14,21,.667,6,11,.545,0,0,,1,0,1,8,0,2,0,2,34,31.8,+29
1,LeBron James,31:00,8,16,.500,3,8,.375,9,10,.900,0,5,5,5,0,0,3,2,28,20.8,+28
2,Anthony Davis,26:22,4,7,.571,0,1,.000,6,6,1.000,3,11,14,3,0,0,0,0,14,18.2,+3
3,Austin Reaves,25:36,5,10,.500,3,4,.750,2,2,1.000,1,3,4,2,1,0,1,1,15,12.6,+4
4,Rui Hachimura,22:48,2,7,.286,1,3,.333,4,5,.800,1,1,2,2,1,0,1,2,9,6.1,+15
5,Max Christie,22:12,1,7,.143,0,3,.000,2,2,1.000,0,1,1,2,0,1,2,3,4,-1.3,-1
6,Jarred Vanderbilt,21:06,2,3,.667,0,0,,0,0,,2,2,4,2,2,0,3,1,4,4.7,+8
7,Cam Reddish,21:04,5,8,.625,0,2,.000,0,0,,0,4,4,1,2,0,0,2,10,9.5,+10
8,Christian Wood,17:32,2,3,.667,0,1,.000,0,0,,1,5,6,2,2,3,0,2,4,9.6,+20
9,Jalen Hood-Schifino,6:06,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,1,0,1,0,4,4.7,+1
10,Colin Castleton,4:06,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,4,3.3,+1
11,Jaxson Hayes,4:06,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,4,2.9,+1
12,Maxwell Lewis,4:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
