,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Paolo Banchero,34:49,.900,.900,.500,.000,0.0,19.2,12.2,25.2,1.6,0.0,13.0,34.2,155,118,17.0
1,Franz Wagner,31:34,.671,.577,.308,.462,0.0,10.6,6.7,24.4,5.4,2.8,6.0,27.3,148,112,8.9
2,Caleb Houstan,25:24,1.000,1.000,.667,.000,7.6,0.0,2.8,0.0,0.0,0.0,25.0,8.1,144,131,-2.9
3,Wendell Carter Jr.,24:28,.765,.800,.200,.400,7.8,22.8,17.3,4.9,0.0,3.6,0.0,12.4,165,117,0.3
4,Anthony Black,23:26,.286,.286,.286,.000,16.4,0.0,6.0,9.3,2.4,0.0,12.5,17.7,90,125,-14.8
5,Cole Anthony,24:56,.652,.625,.125,.125,0.0,9.0,5.7,5.0,0.0,7.0,10.6,19.6,123,123,-3.1
6,Joe Ingles,19:50,1.000,1.000,1.000,.000,0.0,11.3,7.1,28.0,2.9,4.4,0.0,7.8,213,117,14.3
7,Jonathan Isaac,14:32,.800,.800,.000,.000,39.6,15.4,24.3,19.0,0.0,6.0,28.6,24.9,136,120,3.6
8,Moritz Wagner,13:16,.850,.800,.000,.400,0.0,16.8,10.6,10.8,4.3,6.6,25.4,30.7,125,109,4.1
9,Trevelin Queen,7:49,.000,.000,.500,.000,0.0,14.3,9.0,0.0,0.0,0.0,0.0,13.2,0,124,-25.1
10,Jett Howard,4:53,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0,131,-24.2
11,Chuma Okeke,4:53,,,,,0.0,22.9,14.5,0.0,0.0,0.0,,0.0,0,119,-3.7
12,Goga Bitadze,4:30,,,,,0.0,24.8,15.7,0.0,0.0,0.0,100.0,11.5,0,117,-26.8
13,Kevon Harris,2:50,.667,.667,.000,.000,0.0,39.4,24.9,100.0,0.0,0.0,0.0,54.7,149,109,-2.2
14,Admiral Schofield,2:50,1.500,1.500,1.000,.000,0.0,39.4,24.9,54.5,0.0,0.0,0.0,18.2,277,111,51.5
