,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Paolo Banchero,32:07,.509,.417,.083,.333,4.0,25.5,15.3,30.4,0.0,2.6,17.9,23.7,107,135,-0.9
1,Jalen Suggs,24:43,.542,.462,.385,.308,0.0,9.5,5.0,14.2,2.2,3.4,6.3,28.9,115,137,1.5
2,Chuma Okeke,20:04,.820,.875,.250,.500,0.0,5.8,3.1,0.0,2.7,0.0,17.0,13.3,122,139,-1.0
3,Goga Bitadze,15:35,.500,.500,.500,.000,0.0,15.0,7.9,9.1,3.4,5.4,33.3,8.7,79,130,-5.7
4,Caleb Houstan,15:17,.000,.000,.667,.000,17.0,0.0,8.1,0.0,0.0,0.0,25.0,11.9,38,148,-17.0
5,Wendell Carter Jr.,26:02,.777,.731,.154,.538,29.9,22.5,26.0,0.0,0.0,0.0,15.7,33.2,137,138,4.1
6,Joe Ingles,22:14,.750,.750,.500,.000,0.0,5.3,2.8,21.2,0.0,0.0,0.0,12.2,164,146,3.3
7,Markelle Fultz,22:00,.543,.500,.000,.167,5.9,0.0,2.8,21.5,0.0,0.0,13.4,15.3,118,148,-5.9
8,Cole Anthony,20:35,.237,.000,.200,.600,0.0,5.7,3.0,18.9,0.0,0.0,38.8,22.7,49,145,-22.6
9,Anthony Black,12:41,.931,.750,1.000,2.000,0.0,27.7,14.6,34.2,0.0,6.6,0.0,13.4,209,132,18.4
10,Jonathan Isaac,12:40,.500,.500,.429,.000,10.2,18.5,14.6,14.8,0.0,6.6,0.0,25.1,118,136,2.8
11,Moritz Wagner,6:23,1.064,1.000,.000,2.000,0.0,0.0,0.0,51.0,0.0,0.0,0.0,13.4,225,148,22.1
12,Kevon Harris,3:13,,,,,0.0,36.4,19.1,0.0,0.0,0.0,100.0,14.1,0,132,-27.9
13,Jett Howard,3:13,.833,.833,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,154,148,25.3
14,Trevelin Queen,3:13,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,200,148,6.2
