,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Miles Bridges,40:54,.528,.500,.421,.105,2.7,22.9,12.6,18.7,2.4,4.5,4.8,22.0,114,130,0.2
1,Brandon Miller,36:55,.333,.333,.389,.000,0.0,3.2,1.5,10.0,1.3,0.0,5.3,22.2,74,141,-17.9
2,Nick Richards,36:25,.895,.909,.000,.727,21.5,19.3,20.4,3.9,0.0,10.1,21.6,21.9,144,134,1.2
3,Cody Martin,29:21,.461,.438,.375,.500,0.0,27.9,13.6,23.3,0.0,0.0,9.3,15.8,108,136,-7.4
4,Ish Smith,28:41,.000,.000,.000,.000,0.0,12.2,6.0,42.7,1.7,0.0,0.0,7.5,107,137,-6.9
5,P.J. Washington,35:33,.922,.932,.409,.136,3.1,3.3,3.2,16.8,2.7,0.0,7.9,30.7,155,137,17.9
6,Nick Smith Jr.,19:23,.375,.375,.750,.000,0.0,0.0,0.0,22.2,2.5,0.0,0.0,8.9,117,139,-6.2
7,Leaky Black,7:19,.399,.000,.500,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,92,144,-27.4
8,JT Thor,5:29,.833,.833,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.5,96,145,-3.2
9,James Bouknight,Did Not Play,,,,,,,,,,,,,,,
10,Bryce McGowens,Did Not Play,,,,,,,,,,,,,,,
11,Nathan Mensah,Did Not Play,,,,,,,,,,,,,,,
12,Frank Ntilikina,Did Not Dress,,,,,,,,,,,,,,,
