,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Cade Cunningham,37:49,9,20,.450,2,4,.500,10,10,1.000,0,3,3,12,1,0,0,4,30,28.3,+1
1,Bojan Bogdanović,36:30,7,14,.500,2,6,.333,3,5,.600,0,7,7,3,0,0,4,2,19,10.6,-4
2,Jalen Duren,34:14,6,11,.545,0,0,,6,6,1.000,2,15,17,2,0,0,1,5,18,17.0,-6
3,Kevin Knox,30:50,7,14,.500,3,8,.375,0,0,,0,2,2,2,1,1,1,2,17,11.9,+1
4,Jaden Ivey,29:03,1,5,.200,1,3,.333,9,12,.750,4,1,5,4,1,0,1,2,12,12.8,+3
5,Alec Burks,18:31,4,6,.667,3,3,1.000,5,5,1.000,0,0,0,1,0,0,0,0,16,14.1,+6
6,Isaiah Livers,17:23,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,3,3,0.8,+1
7,James Wiseman,13:27,4,4,1.000,0,0,,0,0,,0,4,4,0,0,3,0,1,8,9.7,+4
8,Ausar Thompson,12:02,2,4,.500,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,1,6,3.9,+3
9,Killian Hayes,10:11,0,2,.000,0,0,,0,0,,0,1,1,4,1,0,3,2,0,-1.1,+1
