,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Jrue Holiday,36:46,2,7,.286,1,3,.333,2,2,1.000,2,4,6,4,0,0,2,1,7,5.9,-9
1,Jayson Tatum,35:15,7,13,.538,1,1,1.000,5,6,.833,2,7,9,5,1,1,8,4,20,12.4,-1
2,Derrick White,34:08,3,9,.333,2,5,.400,2,2,1.000,1,2,3,4,0,1,2,2,10,6.9,+1
3,Jaylen Brown,33:42,5,16,.313,1,7,.143,1,2,.500,0,6,6,3,2,2,2,4,12,6.1,+1
4,Kristaps Porziņģis,33:32,9,13,.692,0,3,.000,8,9,.889,2,6,8,1,1,6,2,4,26,25.6,+4
5,Sam Hauser,21:51,5,8,.625,5,7,.714,0,0,,0,4,4,0,2,0,0,0,15,14.6,+17
6,Al Horford,21:35,2,5,.400,1,3,.333,0,0,,2,1,3,2,0,0,0,2,5,4.6,+2
7,Payton Pritchard,15:13,2,5,.400,1,2,.500,2,4,.500,0,3,3,1,0,0,1,0,7,4.1,0
8,Neemias Queta,5:17,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-0.5,-3
9,Lamar Stevens,2:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-2
10,Dalano Banton,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Oshae Brissett,Did Not Play,,,,,,,,,,,,,,,,,,,,
12,Luke Kornet,Did Not Play,,,,,,,,,,,,,,,,,,,,
13,Svi Mykhailiuk,Did Not Play,,,,,,,,,,,,,,,,,,,,
