,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Santi Aldama,35:45,.525,.525,.500,.000,3.4,14.9,8.8,0.0,0.0,0.0,0.0,27.6,102,125,-2.3
1,Desmond Bane,34:00,.250,.250,.417,.000,0.0,19.6,9.3,43.1,1.6,0.0,20.0,21.7,72,121,-8.5
2,Bismack Biyombo,29:18,.600,.600,.000,.000,4.1,13.7,8.6,5.1,0.0,3.6,16.7,10.1,106,122,-5.1
3,Jaren Jackson Jr.,28:50,.440,.423,.308,.308,16.6,13.9,15.3,11.6,1.8,0.0,16.9,30.4,87,121,-7.9
4,Jacob Gilyard,23:33,.551,.500,.800,.200,0.0,0.0,0.0,31.0,0.0,0.0,26.9,15.6,101,127,-6.9
5,David Roddy,27:22,.678,.667,.444,.333,0.0,19.5,9.2,0.0,3.9,3.9,16.2,22.2,104,113,4.9
6,Derrick Rose,21:34,.944,.944,.111,.000,0.0,12.4,5.9,11.6,2.5,0.0,10.0,22.9,154,120,13.5
7,John Konchar,17:44,.174,.000,.500,1.000,0.0,22.6,10.7,7.3,0.0,0.0,0.0,8.0,56,124,-9.5
8,Vince Williams Jr.,13:43,.750,.750,1.000,.000,0.0,48.6,23.0,10.4,0.0,0.0,0.0,7.2,152,118,-3.7
9,Shaquille Harrison,1:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-8.5
10,GG Jackson II,1:38,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,32.4,0.0,50.0,60.3,0,56,-26.5
11,Kenneth Lofton Jr.,1:38,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,200,125,10.6
12,Jaylen Nowell,1:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-8.8
13,Ziaire Williams,1:38,.000,.000,1.000,.000,0.0,0.0,0.0,79.4,0.0,0.0,0.0,30.2,51,125,-19.2
