,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyrese Haliburton,30:57,3,12,.250,1,5,.200,1,2,.500,0,2,2,11,0,0,4,1,8,4.3,-37
1,Obi Toppin,30:23,6,8,.750,2,3,.667,0,0,,1,2,3,4,0,2,0,3,14,15.1,-26
2,Buddy Hield,30:03,5,9,.556,3,7,.429,1,2,.500,0,0,0,4,0,1,2,2,14,10.0,-12
3,Isaiah Jackson,24:37,6,9,.667,0,0,,3,5,.600,2,2,4,2,0,1,0,1,15,14.0,-21
4,Bruce Brown,20:19,4,11,.364,0,4,.000,3,3,1.000,3,1,4,3,1,0,2,4,11,6.8,-26
5,Bennedict Mathurin,34:41,12,20,.600,3,7,.429,7,7,1.000,2,4,6,2,1,0,1,3,34,27.6,-11
6,Aaron Nesmith,26:13,4,7,.571,2,3,.667,2,2,1.000,1,5,6,2,2,3,1,3,12,14.2,0
7,T.J. McConnell,20:17,5,10,.500,0,0,,0,0,,1,4,5,8,1,0,0,2,10,12.7,+16
8,Jordan Nwora,16:10,4,8,.500,1,4,.250,0,0,,0,3,3,0,0,0,0,1,9,5.5,-5
9,James Johnson,6:20,0,1,.000,0,0,,0,0,,1,0,1,2,1,0,1,1,0,1.0,+2
10,Myles Turner,Did Not Dress,,,,,,,,,,,,,,,,,,,,
