,Name,Minutes Played,True Shooting Percentage,Effective Field Goal Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Rating,Defensive Rating,BPM
0,Kyle Kuzma,37:16,.606,.568,.318,.455,6.8,15.5,11.7,27.8,1.3,0.0,10.2,34.7,119,120,4.7
1,Tyus Jones,35:33,.756,.767,.467,.133,0.0,8.1,4.6,13.6,1.4,0.0,11.2,22.1,129,124,2.4
2,Deni Avdija,34:46,.645,.571,.143,1.000,7.3,24.9,17.3,22.7,1.4,0.0,16.6,15.3,131,115,1.5
3,Jordan Poole,34:23,.428,.308,.308,.385,0.0,5.6,3.2,23.0,1.4,0.0,16.5,23.3,91,125,-10.8
4,Daniel Gafford,31:16,.707,.700,.000,.300,12.1,15.4,14.0,0.0,6.3,14.2,8.1,17.3,135,101,6.1
5,Corey Kispert,21:36,.533,.500,.750,.125,0.0,0.0,0.0,12.6,0.0,0.0,0.0,17.2,117,131,-4.3
6,Bilal Coulibaly,17:51,1.000,1.000,.000,.000,0.0,10.8,6.1,13.7,0.0,0.0,0.0,2.5,213,124,-6.4
7,Mike Muscala,14:25,.425,.500,.600,.400,0.0,6.7,3.8,9.4,3.4,0.0,0.0,17.9,90,119,-6.3
8,Danilo Gallinari,12:42,.515,.500,.667,.667,0.0,15.1,8.6,0.0,0.0,0.0,0.0,13.4,104,123,-7.2
9,Anthony Gill,0:12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,-9.5
10,Patrick Baldwin Jr.,Did Not Play,,,,,,,,,,,,,,,
11,Jared Butler,Did Not Play,,,,,,,,,,,,,,,
12,Eugene Omoruyi,Did Not Play,,,,,,,,,,,,,,,
13,Ryan Rollins,Did Not Play,,,,,,,,,,,,,,,
