,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Tyus Jones,28:20,7,12,.583,2,4,.500,0,1,.000,1,2,3,6,1,1,2,1,16,14.8,-17
1,Jordan Poole,26:19,7,18,.389,0,6,.000,4,5,.800,0,2,2,5,1,1,4,1,18,9.2,-12
2,Kyle Kuzma,24:52,9,18,.500,1,4,.250,6,6,1.000,1,1,2,0,0,2,0,0,25,18.4,-10
3,Daniel Gafford,21:03,2,2,1.000,0,0,,2,4,.500,1,4,5,0,0,2,0,5,6,5.9,-23
4,Deni Avdija,20:40,4,8,.500,0,0,,1,2,.500,2,5,7,5,1,0,2,0,9,10.0,-15
5,Delon Wright,25:19,3,8,.375,1,1,1.000,1,1,1.000,1,5,6,6,3,0,0,1,8,12.6,-15
6,Corey Kispert,24:27,4,11,.364,1,5,.200,2,2,1.000,2,3,5,1,0,0,1,1,11,6.5,-8
7,Bilal Coulibaly,23:08,1,3,.333,1,1,1.000,0,0,,0,4,4,3,0,3,3,1,3,3.3,-13
8,Danilo Gallinari,17:10,4,7,.571,2,2,1.000,6,6,1.000,2,1,3,0,0,0,0,1,16,14.0,+5
9,Mike Muscala,8:10,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.9,-8
10,Eugene Omoruyi,7:46,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,1,0,4,3.4,-2
11,Ryan Rollins,6:00,0,3,.000,0,0,,1,2,.500,0,3,3,1,0,0,1,0,1,-0.9,-1
12,Jared Butler,3:23,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0,+2
13,Patrick Baldwin Jr.,3:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
14,John Butler,Did Not Play,,,,,,,,,,,,,,,,,,,,
