,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Miles Bridges,38:01,8,23,.348,1,5,.200,2,2,1.000,1,5,6,3,0,1,2,2,19,8.3,-24
1,Brandon Miller,37:43,10,25,.400,5,12,.417,10,12,.833,2,4,6,1,1,2,1,1,35,25.0,0
2,Nick Richards,32:30,5,7,.714,0,0,,2,2,1.000,3,7,10,2,0,0,5,3,12,8.5,-10
3,Ish Smith,25:54,1,3,.333,1,1,1.000,0,0,,0,3,3,4,0,0,2,3,3,1.8,-30
4,Bryce McGowens,16:13,0,2,.000,0,1,.000,4,4,1.000,0,1,1,1,0,0,0,0,4,3.6,-12
5,P.J. Washington,31:47,9,16,.563,1,6,.167,3,5,.600,3,6,9,2,2,1,0,3,22,20.4,-4
6,Nick Smith Jr.,25:19,1,8,.125,0,4,.000,0,0,,1,1,2,2,2,0,0,4,2,-0.4,+7
7,Leaky Black,18:39,0,3,.000,0,0,,0,0,,1,2,3,2,1,1,0,0,0,2.3,-3
8,JT Thor,10:25,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,0,2,3.3,-4
9,James Bouknight,1:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
10,Nathan Mensah,1:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
11,Frank Ntilikina,Did Not Dress,,,,,,,,,,,,,,,,,,,,
