,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Bam Adebayo,36:23,8,15,.533,0,0,,14,16,.875,0,11,11,1,1,3,4,5,30,23.0,+15
1,Kyle Lowry,34:43,5,11,.455,4,7,.571,3,3,1.000,3,8,11,9,1,0,4,4,17,17.5,+20
2,Jimmy Butler,34:37,5,13,.385,2,4,.500,3,3,1.000,1,2,3,2,2,0,1,1,15,11.2,+12
3,Haywood Highsmith,26:51,5,7,.714,2,4,.500,2,2,1.000,2,0,2,1,1,3,0,2,14,15.5,+12
4,Tyler Herro,8:10,2,4,.500,0,0,,2,3,.667,0,1,1,2,1,0,0,2,6,5.5,+6
5,Duncan Robinson,35:06,3,7,.429,2,5,.400,1,2,.500,0,3,3,2,0,0,5,3,9,1.0,+2
6,Jaime Jaquez Jr.,21:08,4,5,.800,1,1,1.000,2,3,.667,0,3,3,2,2,0,0,5,11,11.0,-6
7,Josh Richardson,16:48,1,9,.111,0,5,.000,0,0,,0,0,0,2,0,1,4,1,2,-6.2,-19
8,Dru Smith,14:35,1,3,.333,0,2,.000,0,0,,2,2,4,1,1,1,0,0,2,4.7,-3
9,Thomas Bryant,11:36,1,3,.333,0,0,,0,0,,1,5,6,0,0,0,1,1,2,1.1,-9
10,Kevin Love,Did Not Play,,,,,,,,,,,,,,,,,,,,
11,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,,
