,Name,Minutes Played,Field Goals,FGA,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus/Minus
0,Cam Thomas,36:29,14,26,.538,5,11,.455,7,8,.875,1,2,3,5,1,0,3,3,40,28.6,+22
1,Cameron Johnson,32:53,5,12,.417,2,9,.222,1,1,1.000,2,5,7,3,2,1,3,0,13,11.3,-1
2,Mikal Bridges,32:15,7,16,.438,5,12,.417,4,5,.800,1,2,3,4,0,0,1,1,23,16.9,+24
3,Spencer Dinwiddie,25:43,1,5,.200,1,5,.200,0,0,,0,3,3,6,0,0,0,3,3,3.8,+15
4,Nic Claxton,25:36,4,4,1.000,0,0,,4,6,.667,3,12,15,4,0,4,1,1,12,19.9,+17
5,Lonnie Walker IV,30:09,8,16,.500,3,8,.375,1,1,1.000,1,1,2,3,0,0,0,3,20,13.9,+11
6,Royce O'Neale,26:16,3,5,.600,2,4,.500,0,0,,1,3,4,2,0,0,1,2,8,6.9,-5
7,Ben Simmons,13:39,0,0,,0,0,,0,0,,1,8,9,5,0,0,1,4,0,4.0,+7
8,Trendon Watford,8:38,4,5,.800,1,1,1.000,0,0,,1,2,3,1,0,0,0,0,9,9.1,-8
9,Harry Giles,8:22,3,6,.500,1,1,1.000,1,2,.500,2,2,4,2,0,0,0,3,8,6.8,-12
10,Dorian Finney-Smith,Did Not Dress,,,,,,,,,,,,,,,,,,,,
11,Dennis Smith Jr.,Did Not Dress,,,,,,,,,,,,,,,,,,,,
